OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
L,wcharm,central,4,0.0,2.5,25,30,-1,1,0.970984
L,wcharm,central,4,0.0,2.5,30,50,-1,1,0.995503
L,wcharm,central,4,0.0,2.5,50,70,-1,1,1.013989
L,wcharm,central,4,0.0,2.5,70,100,-1,1,1.002939
L,wcharm,central,4,0.0,2.5,100,130,-1,1,1.064069
L,wcharm,central,4,0.0,2.5,130,160,-1,1,1.077782
L,wcharm,central,4,0.0,2.5,160,250,-1,1,1.052473
L,wcharm,down,4,0.0,2.5,25,30,-1,1,0.942842
L,wcharm,down,4,0.0,2.5,30,50,-1,1,0.9787710000000001
L,wcharm,down,4,0.0,2.5,50,70,-1,1,0.987197
L,wcharm,down,4,0.0,2.5,70,100,-1,1,0.9617060000000001
L,wcharm,down,4,0.0,2.5,100,130,-1,1,0.9740989999999999
L,wcharm,down,4,0.0,2.5,130,160,-1,1,0.9202680000000001
L,wcharm,down,4,0.0,2.5,160,250,-1,1,0.802473
L,wcharm,up,4,0.0,2.5,25,30,-1,1,0.999126
L,wcharm,up,4,0.0,2.5,30,50,-1,1,1.012235
L,wcharm,up,4,0.0,2.5,50,70,-1,1,1.040781
L,wcharm,up,4,0.0,2.5,70,100,-1,1,1.044172
L,wcharm,up,4,0.0,2.5,100,130,-1,1,1.154039
L,wcharm,up,4,0.0,2.5,130,160,-1,1,1.235296
L,wcharm,up,4,0.0,2.5,160,250,-1,1,1.302473
M,wcharm,central,4,0.0,2.5,25,30,-1,1,0.961196
M,wcharm,central,4,0.0,2.5,30,50,-1,1,0.976439
M,wcharm,central,4,0.0,2.5,50,70,-1,1,0.989626
M,wcharm,central,4,0.0,2.5,70,100,-1,1,0.978722
M,wcharm,central,4,0.0,2.5,100,130,-1,1,1.003556
M,wcharm,central,4,0.0,2.5,130,160,-1,1,1.027868
M,wcharm,central,4,0.0,2.5,160,250,-1,1,1.076389
M,wcharm,down,4,0.0,2.5,25,30,-1,1,0.9192220000000001
M,wcharm,down,4,0.0,2.5,30,50,-1,1,0.9502269999999999
M,wcharm,down,4,0.0,2.5,50,70,-1,1,0.955657
M,wcharm,down,4,0.0,2.5,70,100,-1,1,0.932419
M,wcharm,down,4,0.0,2.5,100,130,-1,1,0.9106969999999999
M,wcharm,down,4,0.0,2.5,130,160,-1,1,0.854518
M,wcharm,down,4,0.0,2.5,160,250,-1,1,0.813574
M,wcharm,up,4,0.0,2.5,25,30,-1,1,1.0031700000000001
M,wcharm,up,4,0.0,2.5,30,50,-1,1,1.002651
