Run,Delivered lumi (/fb)
299368,0.033716376
299369,0.080806811
299370,0.146044318
299380,0.055831119
299381,0.012266126
299394,0.005552696
299395,0.040232187
299396,0.01765203
299420,0.013585129
299443,0.005784312
299450,0.012756601
299477,0.002082499
299478,0.046532246
299479,0.030700115
299480,0.169437384
299481,0.193095273
299593,0.187400801
299594,0.062036899
299595,0.025536689
299597,0.087023903
299649,0.058245978
300087,0.013203679
300105,0.001264884
300106,0.02013779
300107,0.013777474
300117,0.00631727
300122,0.301188853
300123,0.103262244
300155,0.288018763
300156,0.012014282
300157,0.170366297
300226,0.118756516
300233,0.032399984
300234,0.014933255
300235,0.05054917
300236,0.047244685
300237,0.166062659
300238,0.050734709
300239,0.031504953
300240,0.048113981
300280,0.141233165
300281,0.001510874
300282,0.03108262
300283,0.005861653
300284,0.134354102
300364,0.004061528
300372,0.00201481
300375,0.025170116
300389,0.027327958
300399,0.004284658
300400,0.162809266
300401,0.116894945
300459,0.082550727
300461,0.023965173
300462,0.023547844
300463,0.030979288
300464,0.05442218
300466,0.121620308
300467,0.08026796
300497,0.040365626
300514,0.029557611
300515,0.238009086
300516,0.019408339
300517,0.091078467
300558,0.117294108
300560,0.137087232
300574,0.023867045
300575,0.012364944
300576,0.271952505
300631,0.043254335
300632,0.004107623
300633,0.122455128
300635,0.042419947
300636,0.275055831
300673,0.005117081
300674,0.00793743
300675,0.002920772
300676,0.007391728
300742,0.085026759
300777,0.132160415
300780,0.080251327
300785,0.216567386
300806,0.054764554
300811,0.146529697
300812,0.015011504
300816,0.035229478
300817,0.100991207
301046,0.004282662
301141,0.000958428
301142,0.097766902
301161,0.099580608
301165,0.015711195
301179,0.002079726
301180,0.015074867
301183,0.045954199
301281,0.018862935
301283,0.121755836
301298,0.156258114
301323,0.167581189
301330,0.065477793
301359,0.058223615
301384,0.095748431
301391,0.035114798
301392,0.11176234
301393,0.0026386
301396,0.003781374
301397,0.095095613
301398,0.000565061
301399,0.012401697
301417,0.068760821
301447,0.072905188
301448,0.048685578
301449,0.04989108
301450,0.019653517
301461,0.099274435
301472,0.140455503
301475,0.001568274
301476,0.108771443
301519,0.033917296
301524,0.041629734
301529,0.006659763
301530,0.014509317
301531,0.048916991
301532,0.063324427
301567,0.064262683
301627,0.133211558
301664,0.071408491
301665,0.068864604
301694,0.017982959
301912,0.038824944
301913,0.006035591
301914,0.035987062
301941,0.075585513
301959,0.279143396
301960,0.014356055
301970,0.022691178
301984,0.056413086
301985,0.060905579
301986,0.055046013
301987,0.123998159
301997,0.06608356
301998,0.219896144
302019,0.009297672
302026,0.004741218
302029,0.015524658
302031,0.130228909
302033,0.005229971
302034,0.000488781
302037,0.000061068
302038,0.000009084
302040,0.021171928
302041,0.007813998
302042,0.055477948
302043,0.020998567
302131,0.112968983
302159,0.016349679
302163,0.148159002
302165,0.006927968
302166,0.001532384
302225,0.116241958
302228,0.038790047
302229,0.068335168
302240,0.140471392
302262,0.077032218
302263,0.166829672
302277,0.054463305
302279,0.005946208
302280,0.012807028
302322,0.098876938
302328,0.095461176
302337,0.020904505
302342,0.007086222
302343,0.0156441
302344,0.070115901
302350,0.016847135
302388,0.129234469
302392,0.076757856
302393,0.160557212
302448,0.313701909
302472,0.158148017
302473,0.061488881
302474,0.044087746
302475,0.000101066
302476,0.033916314
302479,0.070058542
302484,0.037365869
302485,0.17663009
302492,0.006904477
302493,0.000144108
302494,0.087698011
302509,0.005111673
302513,0.012539023
302522,0.000520158
302523,0.010987125
302525,0.137409234
302526,0.08961329
302548,0.016101126
302551,0.000106049
302553,0.037756779
302554,0.000093177
302555,0.001943426
302563,0.00032689
302565,0.000152595
302572,0.054759151
302573,0.19051056
302596,0.176235913
302597,0.146885588
302634,0.11895717
302635,0.187201184
302651,0.030699071
302654,0.065259081
302661,0.009745907
302663,0.136817694
303825,0.023642118
303832,0.333128575
303838,0.394600217
303885,0.415089201
303948,0.365100917
303998,0.076324917
303999,0.17913989
304000,0.010978182
304062,0.385649664
304119,0.021058407
304120,0.07255646
304125,0.341363339
304144,0.538113232
304158,0.374034612
304169,0.341186944
304170,0.076616636
304199,0.000058436
304200,0.088513008
304204,0.153749807
304209,0.116489186
304291,0.00329595
304292,0.349755155
304333,0.368642836
304354,0.068302119
304366,0.421266148
304446,0.016805408
304447,0.370597664
304451,0.007491896
304505,0.007697022
304506,0.119667654
304507,0.050757205
304508,0.250242942
304562,0.222628269
304616,0.25433613
304625,0.136456546
304626,0.002320793
304654,0.173728955
304655,0.231675322
304661,0.046155753
304662,0.04351309
304663,0.17774816
304671,0.309147958
304672,0.012259802
304737,0.024057201
304738,0.410947325
304778,0.268014647
304797,0.560780324
305044,0.067148492
305045,0.203393847
305046,0.10963263
305059,0.15776777
305062,0.001285533
305063,0.009557455
305064,0.38279693
305081,0.315495276
305112,0.401511839
305405,0.159168445
305406,0.317190206
305440,0.083029064
305441,0.03655337
305516,0.17049655
305517,0.03395841
305518,0.234914929
305586,0.17069264
305589,0.163352272
305590,0.153195523
305636,0.526497245
305766,0.263357176
305809,0.045867782
305814,0.447547551
305821,0.240083951
305832,0.057877729
305840,0.252272329
305842,0.115950149
305862,0.201772116
305898,0.230261384
305902,0.153845664
305967,0.010514039
304739,0.001556964
304740,0.040305673
304776,0.00937185
304777,0.156643338
305113,0.010996612
305114,0.085938141
305178,0.01673792
305179,0.003830089
305180,0.000524752
305181,0.000582039
305182,0.000921171
305183,0.077210884
305184,0.000102205
305186,0.12213482
305188,0.199602544
305202,0.207519442
305204,0.255979371
305207,0.318040107
305208,0.083462031
305234,0.01261536
305236,0.006485735
305237,0.338056113
305247,0.122246969
305248,0.258299832
